z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0,0.00965938,0.00778267,0,0,0,0,0.0136915,-0.00302037,0
0.001001,0,0,0,1.26025e-10,2.21844e-10,-2.21844e-10,0,0,0
0.002002,0.0107322,-0.0172411,0,0,0,0,-0.0139104,0.00304571,0
0.003003,0,0,0,-5.59451e-11,-1.77087e-10,1.77087e-10,0,0,0
0.004004,-0.04656,0.0305632,0,0,0,0,0.00623422,-0.00470439,0
0.00500501,0,0,0,2.65679e-11,1.26304e-10,-1.26304e-10,0,0,0
0.00600601,0.0662395,-0.0332433,0,0,0,0,-0.000647227,0.000478324,0
0.00700701,0,0,0,6.22816e-11,3.61155e-11,-3.61155e-11,0,0,0
0.00800801,-0.062212,0.0242866,0,0,0,0,-0.00153015,0.00166998,0
0.00900901,0,0,0,-8.45321e-11,-1.27028e-10,1.27028e-10,0,0,0
0.01001,0.0363713,-0.00655247,0,0,0,0,0.00534796,-0.00295309,0
0.011011,0,0,0,1.21847e-10,2.24847e-10,-2.24847e-10,0,0,0
0.012012,0.00187926,-0.0133884,0,0,0,0,-0.00534815,0.00379036,0
0.013013,0,0,0,-6.90951e-11,-1.95662e-10,1.95662e-10,0,0,0
0.014014,-0.0393789,0.0282666,0,0,0,0,0.00517719,-0.000518543,0
0.015015,0,0,0,4.56213e-11,1.40292e-10,-1.40292e-10,0,0,0
0.016016,0.0622556,-0.0337119,0,0,0,0,-0.00471768,0.00196168,0
0.017017,0,0,0,6.0104e-11,9.39205e-12,-9.39205e-12,0,0,0
0.018018,-0.0626261,0.0259123,0,0,0,0,-0.00381104,0.000622092,0
0.019019,0,0,0,-6.92469e-11,-9.233e-11,9.233e-11,0,0,0
0.02002,0.0417217,-0.0101035,0,0,0,0,0.0020977,-0.00521625,0
0.021021,0,0,0,1.22865e-10,2.23546e-10,-2.23546e-10,0,0,0
0.022022,-0.00464631,-0.0100742,0,0,0,0,-0.00572142,-0.000454549,0
0.023023,0,0,0,-8.34343e-11,-1.75508e-10,1.75508e-10,0,0,0
0.024024,-0.031576,0.0267296,0,0,0,0,0.00772121,-0.00501901,0
0.025025,0,0,0,3.53106e-11,1.60569e-10,-1.60569e-10,0,0,0
0.026026,0.0572448,-0.0327299,0,0,0,0,0.000259949,0.000426206,0
0.027027,0,0,0,2.65298e-11,-1.11616e-11,1.11616e-11,0,0,0
0.028028,-0.0612848,0.0282756,0,0,0,0,0.00228536,0.00276018,0
0.029029,0,0,0,-8.18165e-11,-8.99346e-11,8.99346e-11,0,0,0
0.03003,0.0424113,-0.0125568,0,0,0,0,0.00439478,0.000728685,0
0.031031,0,0,0,1.19302e-10,1.84848e-10,-1.84848e-10,0,0,0
0.032032,-0.00941108,-0.00775486,0,0,0,0,-0.00704548,0.00618277,0
0.033033,0,0,0,-7.62554e-11,-1.8953e-10,1.8953e-10,0,0,0
0.034034,-0.0276453,0.0241169,0,0,0,0,0.00202712,-0.000852066,0
0.035035,0,0,0,6.86789e-11,1.5708e-10,-1.5708e-10,0,0,0
0.036036,0.0538917,-0.0340894,0,0,0,0,-0.00712561,0.000832966,0
0.037037,0,0,0,4.18529e-11,-8.13936e-12,8.13936e-12,0,0,0
0.038038,-0.0587761,0.029073,0,0,0,0,-0.00349276,-0.00158889,0
0.039039,0,0,0,-6.15277e-11,-5.18067e-11,5.18067e-11,0,0,0
0.04004,0.0442255,-0.0159665,0,0,0,0,0.00140242,-0.00589242,0
0.041041,0,0,0,1.16545e-10,2.09614e-10,-2.09614e-10,0,0,0
0.042042,-0.0098409,-0.00444367,0,0,0,0,-0.00550192,-0.000806193,0
0.043043,0,0,0,-1.01589e-10,-1.53859e-10,1.53859e-10,0,0,0
0.044044,-0.0238724,0.0229339,0,0,0,0,0.00651957,-0.00611395,0
0.045045,0,0,0,4.50052e-11,1.75852e-10,-1.75852e-10,0,0,0
0.046046,0.0520376,-0.0321112,0,0,0,0,-0.00102554,-0.000859986,0
0.047047,0,0,0,-6.00689e-12,-8.03824e-12,8.03824e-12,0,0,0
0.048048,-0.0569101,0.0315192,0,0,0,0,0.00238376,-0.000636363,0
0.049049,0,0,0,-8.80455e-11,-5.64172e-11,5.64172e-11,0,0,0
0.0500501,0.0425413,-0.0170099,0,0,0,0,0.00519159,-0.00220983,0
0.0510511,0,0,0,8.63561e-11,1.80357e-10,-1.80357e-10,0,0,0
0.0520521,-0.0106572,-0.000869977,0,0,0,0,-0.00370089,0.00344187,0
0.0530531,0,0,0,-1.16679e-10,-1.69735e-10,1.69735e-10,0,0,0
0.0540541,-0.0236742,0.0205715,0,0,0,0,0.0056523,-0.0022556,0
0.0550551,0,0,0,4.41675e-11,1.43145e-10,-1.43145e-10,0,0,0
0.0560561,0.0483852,-0.0301139,0,0,0,0,-0.00275342,0.00179903,0
0.0570571,0,0,0,-1.14527e-11,-2.11283e-11,2.11283e-11,0,0,0
0.0580581,-0.0532318,0.0301234,0,0,0,0,-9.38737e-05,0.000121194,0
0.0590591,0,0,0,-7.53097e-11,-6.84773e-11,6.84773e-11,0,0,0
0.0600601,0.0371685,-0.0172689,0,0,0,0,0.00326139,-0.00235433,0
