z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0,-0.0398939,0.0475246,0,0,0,0,0.00104762,0.00291337,0
0.001001,0,0,0,9.13292e-11,1.39761e-10,-1.39761e-10,0,0,0
0.002002,0.0492239,-0.0519566,0,0,0,0,2.51257e-05,-0.00425275,0
0.003003,0,0,0,3.37399e-11,-1.65323e-11,1.65323e-11,0,0,0
0.004004,-0.0540114,0.046805,0,0,0,0,0.00119305,0.00477835,0
0.00500501,0,0,0,-1.07817e-10,-7.19308e-11,7.19308e-11,0,0,0
0.00600601,0.0395209,-0.0249192,0,0,0,0,0.00076006,-0.00300348,0
0.00700701,0,0,0,1.84337e-10,1.6842e-10,-1.6842e-10,0,0,0
0.00800801,-0.0110585,-0.00608278,0,0,0,0,-0.00545581,0.00339849,0
0.00900901,0,0,0,-1.4668e-10,-1.63778e-10,1.63778e-10,0,0,0
0.01001,-0.0212049,0.0347932,0,0,0,0,0.00556139,-0.00487242,0
0.011011,0,0,0,9.97483e-11,1.48719e-10,-1.48719e-10,0,0,0
0.012012,0.0461901,-0.0512881,0,0,0,0,-0.00278346,0.00232646,0
0.013013,0,0,0,2.00678e-11,-3.48628e-11,3.48628e-11,0,0,0
0.014014,-0.0546551,0.0496576,0,0,0,0,0.000326145,0.000692699,0
0.015015,0,0,0,-9.70775e-11,-4.91889e-11,4.91889e-11,0,0,0
0.016016,0.0437183,-0.0303733,0,0,0,0,0.00303687,-0.00340748,0
0.017017,0,0,0,1.76276e-10,1.56749e-10,-1.56749e-10,0,0,0
0.018018,-0.0172782,0.000181,0,0,0,0,-0.00434699,0.00540873,0
0.019019,0,0,0,-1.56048e-10,-1.70816e-10,1.70816e-10,0,0,0
0.02002,-0.0155438,0.0299748,0,0,0,0,0.0045862,-0.0037209,0
0.021021,0,0,0,1.22281e-10,1.61647e-10,-1.61647e-10,0,0,0
0.022022,0.0429427,-0.0501047,0,0,0,0,-0.00492423,0.00296383,0
0.023023,0,0,0,1.91583e-12,-5.37616e-11,5.37616e-11,0,0,0
0.024024,-0.0550924,0.0520293,0,0,0,0,-0.000325147,-0.000908614,0
0.025025,0,0,0,-7.79418e-11,-2.20919e-11,2.20919e-11,0,0,0
0.026026,0.0484265,-0.0361206,0,0,0,0,0.00203462,-0.00469896,0
0.027027,0,0,0,1.66081e-10,1.50462e-10,-1.50462e-10,0,0,0
0.028028,-0.0241035,0.0074161,0,0,0,0,-0.00307971,0.00333466,0
0.029029,0,0,0,-1.6984e-10,-1.65824e-10,1.65824e-10,0,0,0
0.03003,-0.00823566,0.0241291,0,0,0,0,0.00711912,-0.00471873,0
