z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0,0.0241412,-0.00560766,0,0,0,0,0.00811564,-0.00653058,0
0.001001,0,0,0,4.27471e-11,1.11857e-10,-1.11857e-10,0,0,0
0.002002,-0.012655,0.00175589,0,0,0,0,-0.00868086,0.00684118,0
0.003003,0,0,0,-2.5758e-11,-1.28557e-10,1.28557e-10,0,0,0
0.004004,-0.012471,0.00577716,0,0,0,0,0.000896351,-0.00445826,0
0.00500501,0,0,0,4.16096e-11,1.3243e-10,-1.3243e-10,0,0,0
0.00600601,0.03363,-0.0116508,0,0,0,0,-0.00101517,-0.00240224,0
0.00700701,0,0,0,-7.86693e-12,-3.66306e-11,3.66306e-11,0,0,0
0.00800801,-0.0424529,0.0137294,0,0,0,0,0.00409016,-0.000343138,0
0.00900901,0,0,0,-1.56971e-11,-2.7051e-11,2.7051e-11,0,0,0
0.01001,0.0364841,-0.0103763,0,0,0,0,0.00314949,0.00201113,0
0.011011,0,0,0,4.44546e-11,1.03343e-10,-1.03343e-10,0,0,0
0.012012,-0.0185174,0.00374984,0,0,0,0,-0.0042927,0.0036975,0
0.013013,0,0,0,-3.02259e-11,-1.34174e-10,1.34174e-10,0,0,0
0.014014,-0.00634632,0.00372189,0,0,0,0,0.00137689,-0.000188488,0
0.015015,0,0,0,5.33281e-11,1.33619e-10,-1.33619e-10,0,0,0
0.016016,0.0284945,-0.0108492,0,0,0,0,-0.00585029,0.000177041,0
0.017017,0,0,0,-1.01848e-12,-5.32138e-11,5.32138e-11,0,0,0
0.018018,-0.0398048,0.013036,0,0,0,0,-0.000103715,-0.00276577,0
0.019019,0,0,0,-2.15193e-13,1.0817e-11,-1.0817e-11,0,0,0
0.02002,0.0385092,-0.0113559,0,0,0,0,0.000963997,-0.00279325,0
0.021021,0,0,0,3.4128e-11,9.99358e-11,-9.99358e-11,0,0,0
0.022022,-0.0224952,0.00591799,0,0,0,0,-0.00137256,-0.00100474,0
0.023023,0,0,0,-4.28566e-11,-1.07687e-10,1.07687e-10,0,0,0
0.024024,0.000667312,0.00218513,0,0,0,0,0.00557158,-0.00183834,0
0.025025,0,0,0,3.36755e-11,1.31004e-10,-1.31004e-10,0,0,0
0.026026,0.0211703,-0.0080055,0,0,0,0,-0.001453,0.00164847,0
0.027027,0,0,0,-2.12514e-11,-7.13659e-11,7.13659e-11,0,0,0
0.028028,-0.0344936,0.011934,0,0,0,0,0.00259569,0.000857465,0
0.029029,0,0,0,-1.29503e-12,1.09877e-11,-1.09877e-11,0,0,0
0.03003,0.0345103,-0.0107199,0,0,0,0,0.000198081,0.00166108,0
0.031031,0,0,0,3.10663e-11,6.24636e-11,-6.24636e-11,0,0,0
0.032032,-0.0228489,0.00581477,0,0,0,0,-0.00333609,0.00213885,0
0.033033,0,0,0,-2.45656e-11,-9.64073e-11,9.64073e-11,0,0,0
0.034034,0.00327535,0.000294607,0,0,0,0,0.00111582,-0.000254296,0
0.035035,0,0,0,4.53805e-11,1.14583e-10,-1.14583e-10,0,0,0
0.036036,0.0164074,-0.00707029,0,0,0,0,-0.00501355,0.000752591,0
0.037037,0,0,0,-5.69223e-12,-5.32588e-11,5.32588e-11,0,0,0
0.038038,-0.0277177,0.00942521,0,0,0,0,-0.000623284,-0.0016435,0
0.039039,0,0,0,7.75551e-12,2.94594e-11,-2.94594e-11,0,0,0
0.04004,0.0295597,-0.00929577,0,0,0,0,-0.00136052,-0.00193626,0
0.041041,0,0,0,2.58247e-11,7.3276e-11,-7.3276e-11,0,0,0
0.042042,-0.0173966,0.00481387,0,0,0,0,-0.00271816,-0.00177627,0
0.043043,0,0,0,-2.96893e-11,-5.88372e-11,5.88372e-11,0,0,0
0.044044,0.0023124,0.00118342,0,0,0,0,0.00240278,-0.00335745,0
