z,Ex,Ey,Ez,Bx,By,Bz,Jx,Jy,Jz
0,-0.0170483,0.054298,0,0,0,0,0.00390676,-0.00878275,0
0.001001,0,0,0,-6.24737e-11,9.63693e-11,-9.63693e-11,0,0,0
0.002002,0.0166098,-0.0421694,0,0,0,0,-0.0031101,0.00740761,0
0.003003,0,0,0,1.76214e-10,-4.78381e-11,4.78381e-11,0,0,0
0.004004,-0.0288109,0.0179601,0,0,0,0,-0.00534107,0.000478036,0
0.00500501,0,0,0,-1.61991e-10,4.65601e-11,-4.65601e-11,0,0,0
0.00600601,0.035178,0.0169651,0,0,0,0,0.00351646,-0.0112963,0
0.00700701,0,0,0,1.56138e-10,8.9467e-11,-8.9467e-11,0,0,0
0.00800801,-0.0218708,-0.0424306,0,0,0,0,0.00302196,0.0043698,0
0.00900901,0,0,0,-5.74933e-11,-9.8477e-11,9.8477e-11,0,0,0
0.01001,-0.00245865,0.0559272,0,0,0,0,0.00395727,0.00227538,0
0.011011,0,0,0,-2.4721e-11,9.65099e-11,-9.65099e-11,0,0,0
0.012012,0.0120107,-0.0474298,0,0,0,0,-0.00335573,-1.12344e-05,0
0.013013,0,0,0,1.61763e-10,-5.9761e-11,5.9761e-11,0,0,0
0.014014,-0.0252141,0.021059,0,0,0,0,0.000107768,0.00428619,0
0.015015,0,0,0,-1.4757e-10,5.45395e-11,-5.45395e-11,0,0,0
0.016016,0.0378775,0.00789877,0,0,0,0,-0.00201007,-0.00602304,0
0.017017,0,0,0,1.87796e-10,8.89777e-11,-8.89777e-11,0,0,0
0.018018,-0.0171265,-0.0405556,0,0,0,0,-0.00349167,0.00196435,0
0.019019,0,0,0,-6.22113e-11,-5.03856e-11,5.03856e-11,0,0,0
0.02002,0.00603633,0.0545811,0,0,0,0,0.00175113,-0.00410542,0
0.021021,0,0,0,-1.73977e-11,1.15426e-10,-1.15426e-10,0,0,0
0.022022,0.00893626,-0.0478864,0,0,0,0,-0.000849239,-0.0033634,0
0.023023,0,0,0,1.25765e-10,-5.16971e-11,5.16971e-11,0,0,0
0.024024,-0.0233984,0.0280034,0,0,0,0,0.00365798,0.00350201,0
0.025025,0,0,0,-1.70311e-10,4.78018e-11,-4.78018e-11,0,0,0
0.026026,0.0317025,0.00489371,0,0,0,0,0.000845079,-0.00408526,0
0.027027,0,0,0,1.79851e-10,6.702e-11,-6.702e-11,0,0,0
0.028028,-0.0160433,-0.0372954,0,0,0,0,-0.00235356,0.00566776,0
0.029029,0,0,0,-8.13721e-11,-5.51684e-11,5.51684e-11,0,0,0
0.03003,0.00323514,0.0541863,0,0,0,0,3.10156e-05,-0.00118584,0
0.031031,0,0,0,2.04227e-12,8.8017e-11,-8.8017e-11,0,0,0
0.032032,0.0051304,-0.0517928,0,0,0,0,-0.00343717,-0.000913671,0
0.033033,0,0,0,1.26793e-10,-6.23325e-11,6.23325e-11,0,0,0
0.034034,-0.0293235,0.0324783,0,0,0,0,0.000770738,0.00369018,0
0.035035,0,0,0,-1.6139e-10,1.88859e-11,-1.88859e-11,0,0,0
0.036036,0.0245834,-0.00188736,0,0,0,0,-6.09705e-05,-0.00496953,0
0.037037,0,0,0,2.09244e-10,7.39062e-11,-7.39062e-11,0,0,0
0.038038,-0.01316,-0.0379468,0,0,0,0,-0.00314864,0.00530637,0
0.039039,0,0,0,-8.58947e-11,-4.26979e-11,4.26979e-11,0,0,0
0.04004,0.00359257,0.0522075,0,0,0,0,-0.000669929,-0.00277817,0
0.041041,0,0,0,3.17858e-11,1.22418e-10,-1.22418e-10,0,0,0
0.042042,0.0161852,-0.0580993,0,0,0,0,-0.00486028,-0.00215753,0
0.043043,0,0,0,1.10225e-10,-2.11678e-11,2.11678e-11,0,0,0
0.044044,-0.0305528,0.042859,0,0,0,0,-0.000203992,8.53067e-05,0
0.045045,0,0,0,-1.92352e-10,2.77038e-11,-2.77038e-11,0,0,0
0.046046,0.0277245,-0.00344763,0,0,0,0,0.00235943,-0.00969544,0
0.047047,0,0,0,1.8494e-10,1.11523e-10,-1.11523e-10,0,0,0
0.048048,-0.0115273,-0.027582,0,0,0,0,0.00107966,0.00201488,0
0.049049,0,0,0,-1.61849e-10,-5.49131e-11,5.49131e-11,0,0,0
0.0500501,0.00169863,0.0570041,0,0,0,0,0.00645603,-0.00489703,0
0.0510511,0,0,0,1.69055e-11,1.39377e-10,-1.39377e-10,0,0,0
0.0520521,0.0274695,-0.0614053,0,0,0,0,0.00020644,0.00098987,0
0.0530531,0,0,0,5.96435e-11,-3.71917e-11,3.71917e-11,0,0,0
0.0540541,-0.0385993,0.05374,0,0,0,0,0.00192163,0.00457054,0
0.0550551,0,0,0,-2.1281e-10,-2.36596e-11,2.36596e-11,0,0,0
0.0560561,0.0291492,-0.0105806,0,0,0,0,0.00169784,-0.00468033,0
0.0570571,0,0,0,1.94206e-10,9.07145e-11,-9.07145e-11,0,0,0
0.0580581,-0.0194398,-0.0207248,0,0,0,0,-0.0032308,0.00545329,0
0.0590591,0,0,0,-1.80185e-10,-1.25515e-10,1.25515e-10,0,0,0
0.0600601,-0.00711671,0.0524039,0,0,0,0,0.00370161,-0.00598535,0
0.0610611,0,0,0,7.45561e-11,1.44661e-10,-1.44661e-10,0,0,0
0.0620621,0.0377885,-0.0736109,0,0,0,0,-0.00256946,-0.000352703,0
0.0630631,0,0,0,7.2393e-11,-3.13954e-11,3.13954e-11,0,0,0
0.0640641,-0.0423314,0.0526674,0,0,0,0,0.00135498,0.00187338,0
0.0650651,0,0,0,-1.83184e-10,-2.51172e-11,2.51172e-11,0,0,0
0.0660661,0.0393395,-0.0244823,0,0,0,0,0.00343594,-0.00493271,0
0.0670671,0,0,0,2.08824e-10,1.2294e-10,-1.2294e-10,0,0,0
0.0680681,-0.0184198,-0.0138453,0,0,0,0,-0.00247993,0.00795733,0
0.0690691,0,0,0,-2.16387e-10,-1.6768e-10,1.6768e-10,0,0,0
0.0700701,-0.0167075,0.0556087,0,0,0,0,0.00533919,-0.00289555,0
0.0710711,0,0,0,8.35433e-11,1.28167e-10,-1.28167e-10,0,0,0
0.0720721,0.0423132,-0.0720134,0,0,0,0,-0.00356536,0.00448312,0
0.0730731,0,0,0,5.86826e-11,-4.40383e-11,4.40383e-11,0,0,0
0.0740741,-0.0491832,0.0580294,0,0,0,0,-0.00244289,0.00467142,0
0.0750751,0,0,0,-1.547e-10,-6.00544e-11,6.00544e-11,0,0,0
0.0760761,0.038739,-0.0320474,0,0,0,0,-0.000956956,-0.00371535,0
